epoch,train_loss,val_acc,val_macro_f1,lr
1,1.506681,0.073394,0.068019,0.00004999
2,1.126827,0.082569,0.064581,0.00004995
3,0.968662,0.123344,0.100957,0.00004989
4,0.900160,0.145770,0.128587,0.00004980
5,0.883286,0.158002,0.149434,0.00004969
6,0.866767,0.172273,0.175287,0.00004956
7,0.805213,0.182467,0.203616,0.00004940
8,0.785162,0.185525,0.202779,0.00004921
9,0.762039,0.192661,0.205656,0.00004901
10,0.755382,0.213048,0.235113,0.00004878
11,0.784388,0.215087,0.241395,0.00004852
12,0.736809,0.227319,0.249945,0.00004824
13,0.729201,0.251784,0.268366,0.00004794
14,0.717409,0.258919,0.275145,0.00004762
15,0.707043,0.290520,0.316618,0.00004728
16,0.709348,0.292559,0.298611,0.00004691
17,0.714747,0.324159,0.347754,0.00004652
18,0.699768,0.344546,0.365478,0.00004611
19,0.670809,0.352701,0.370374,0.00004568
20,0.674135,0.373089,0.381864,0.00004523
21,0.672847,0.382263,0.387661,0.00004475
22,0.679781,0.382263,0.388698,0.00004426
23,0.637555,0.424057,0.421529,0.00004375
24,0.651382,0.428135,0.421815,0.00004322
25,0.630762,0.429154,0.429485,0.00004268
26,0.627556,0.497452,0.475739,0.00004211
27,0.635116,0.456677,0.459125,0.00004153
28,0.632889,0.403670,0.418328,0.00004094
29,0.646674,0.432212,0.432557,0.00004032
30,0.600261,0.468909,0.465832,0.00003969
31,0.585438,0.528033,0.498425,0.00003905
32,0.616016,0.532110,0.501736,0.00003840
33,0.616299,0.484200,0.476719,0.00003773
34,0.618885,0.533129,0.496327,0.00003704
35,0.585228,0.545362,0.525586,0.00003635
36,0.603608,0.566769,0.538906,0.00003564
37,0.602725,0.488277,0.481383,0.00003493
38,0.565823,0.499490,0.496274,0.00003420
39,0.582829,0.475025,0.460192,0.00003347
40,0.571898,0.494393,0.488061,0.00003273
41,0.577795,0.542304,0.508719,0.00003197
42,0.573929,0.503568,0.494658,0.00003122
43,0.592581,0.554536,0.519222,0.00003045
44,0.568072,0.492355,0.487383,0.00002968
45,0.563025,0.555556,0.525395,0.00002891
46,0.569430,0.502548,0.492044,0.00002813
47,0.567520,0.515800,0.510685,0.00002735
48,0.548608,0.496432,0.491711,0.00002657
49,0.562646,0.501529,0.492950,0.00002579
50,0.579273,0.562691,0.536700,0.00002500
51,0.528421,0.505607,0.502106,0.00002421
52,0.545909,0.556575,0.533231,0.00002343
53,0.549391,0.549439,0.511317,0.00002265
54,0.564529,0.557594,0.527068,0.00002187
55,0.548830,0.558614,0.526280,0.00002109
56,0.554192,0.551478,0.515798,0.00002032
57,0.571494,0.563710,0.531752,0.00001955
58,0.538227,0.562691,0.532202,0.00001878
59,0.530175,0.506626,0.494690,0.00001803
60,0.536587,0.551478,0.522497,0.00001727
61,0.551108,0.576962,0.551946,0.00001653
62,0.542107,0.557594,0.529830,0.00001580
63,0.543284,0.575943,0.546390,0.00001507
64,0.531820,0.574924,0.549442,0.00001436
65,0.539458,0.568807,0.547231,0.00001365
66,0.551605,0.576962,0.555737,0.00001296
67,0.544164,0.517839,0.508685,0.00001227
68,0.525591,0.514781,0.506417,0.00001160
69,0.516345,0.563710,0.527732,0.00001095
70,0.566511,0.520897,0.511900,0.00001031
71,0.518345,0.572885,0.544184,0.00000968
72,0.511793,0.562691,0.534042,0.00000906
73,0.537033,0.581040,0.553021,0.00000847
74,0.501009,0.562691,0.540704,0.00000789
75,0.522906,0.562691,0.527395,0.00000732
76,0.511710,0.568807,0.537988,0.00000678
77,0.538054,0.573904,0.543156,0.00000625
78,0.530042,0.568807,0.536285,0.00000574
79,0.518045,0.561672,0.531329,0.00000525
80,0.520874,0.565749,0.539290,0.00000477
81,0.527011,0.556575,0.518728,0.00000432
82,0.526619,0.567788,0.534026,0.00000389
83,0.509958,0.563710,0.536094,0.00000348
84,0.508662,0.565749,0.534307,0.00000309
85,0.576635,0.571865,0.540316,0.00000272
86,0.530057,0.566769,0.540276,0.00000238
87,0.544330,0.575943,0.544038,0.00000206
88,0.503544,0.564730,0.532409,0.00000176
89,0.515438,0.566769,0.532118,0.00000148
90,0.546076,0.565749,0.534369,0.00000122
91,0.513933,0.568807,0.537902,0.00000099
92,0.541852,0.566769,0.533493,0.00000079
93,0.505449,0.569827,0.539279,0.00000060
94,0.540987,0.568807,0.540668,0.00000044
95,0.531714,0.569827,0.541352,0.00000031
96,0.555316,0.575943,0.545315,0.00000020
97,0.525098,0.571865,0.540177,0.00000011
98,0.505468,0.575943,0.545185,0.00000005
99,0.528902,0.568807,0.539184,0.00000001
100,0.544713,0.555556,0.522337,0.00000000
