epoch,train_loss,val_acc,val_macro_f1,lr
1,1.083794,0.358818,0.243449,0.00004999
2,1.062869,0.480122,0.421423,0.00004995
3,1.032898,0.513761,0.470696,0.00004989
4,0.964281,0.521916,0.502001,0.00004980
5,0.948436,0.544343,0.526183,0.00004969
6,0.928503,0.568807,0.557753,0.00004956
7,0.889894,0.592253,0.583102,0.00004940
8,0.865674,0.591233,0.581247,0.00004921
9,0.851141,0.601427,0.591206,0.00004901
10,0.831410,0.605505,0.595544,0.00004878
11,0.812470,0.609582,0.599858,0.00004852
12,0.817390,0.645260,0.635284,0.00004824
13,0.790591,0.626911,0.616577,0.00004794
14,0.760405,0.611621,0.599180,0.00004762
15,0.757628,0.636086,0.625452,0.00004728
16,0.762282,0.623853,0.614422,0.00004691
17,0.756283,0.620795,0.610333,0.00004652
18,0.769430,0.652396,0.643843,0.00004611
19,0.750075,0.652396,0.642575,0.00004568
20,0.758681,0.662589,0.652785,0.00004523
21,0.736917,0.660550,0.651456,0.00004475
22,0.749883,0.665647,0.656649,0.00004426
23,0.741482,0.661570,0.653687,0.00004375
24,0.724286,0.670744,0.662913,0.00004322
25,0.707028,0.659531,0.649390,0.00004268
26,0.735123,0.636086,0.626447,0.00004211
27,0.727786,0.664628,0.655362,0.00004153
28,0.712241,0.673802,0.664653,0.00004094
29,0.713954,0.663609,0.653975,0.00004032
30,0.707201,0.653415,0.638262,0.00003969
31,0.712244,0.676860,0.667096,0.00003905
32,0.700388,0.676860,0.669980,0.00003840
33,0.696011,0.687054,0.679582,0.00003773
34,0.699975,0.683996,0.676564,0.00003704
35,0.687475,0.686035,0.678734,0.00003635
36,0.707240,0.683996,0.677980,0.00003564
37,0.695737,0.680938,0.670031,0.00003493
38,0.675654,0.687054,0.679759,0.00003420
39,0.683624,0.692151,0.684935,0.00003347
40,0.662713,0.687054,0.680033,0.00003273
41,0.673787,0.696228,0.688430,0.00003197
42,0.700144,0.689093,0.683033,0.00003122
43,0.664003,0.689093,0.682698,0.00003045
44,0.664750,0.690112,0.684005,0.00002968
45,0.679469,0.692151,0.684368,0.00002891
46,0.690219,0.694190,0.688357,0.00002813
47,0.663945,0.688073,0.682323,0.00002735
48,0.687073,0.698267,0.691998,0.00002657
49,0.648094,0.695209,0.689049,0.00002579
50,0.650420,0.695209,0.688615,0.00002500
51,0.634868,0.700306,0.694479,0.00002421
52,0.645887,0.693170,0.685999,0.00002343
53,0.673683,0.701325,0.694717,0.00002265
54,0.644518,0.698267,0.690767,0.00002187
55,0.659375,0.698267,0.691863,0.00002109
56,0.664644,0.693170,0.686353,0.00002032
57,0.638665,0.697248,0.690831,0.00001955
58,0.652958,0.706422,0.699671,0.00001878
59,0.647315,0.690112,0.683220,0.00001803
60,0.620727,0.694190,0.687445,0.00001727
61,0.641880,0.696228,0.689666,0.00001653
62,0.631493,0.697248,0.690471,0.00001580
63,0.636068,0.702345,0.695660,0.00001507
64,0.652305,0.701325,0.695680,0.00001436
65,0.639450,0.701325,0.695153,0.00001365
66,0.647439,0.703364,0.697795,0.00001296
67,0.650947,0.702345,0.696016,0.00001227
68,0.638359,0.702345,0.696337,0.00001160
69,0.644462,0.705403,0.699664,0.00001095
70,0.647376,0.708461,0.702877,0.00001031
71,0.647777,0.708461,0.703137,0.00000968
72,0.638788,0.701325,0.695925,0.00000906
73,0.633894,0.701325,0.695078,0.00000847
74,0.635314,0.701325,0.694344,0.00000789
75,0.633741,0.706422,0.700266,0.00000732
76,0.619066,0.704383,0.697406,0.00000678
77,0.619832,0.700306,0.694245,0.00000625
78,0.620051,0.701325,0.694856,0.00000574
79,0.618352,0.702345,0.696117,0.00000525
80,0.626470,0.700306,0.694267,0.00000477
81,0.602417,0.698267,0.692450,0.00000432
82,0.607836,0.704383,0.698579,0.00000389
83,0.621555,0.697248,0.689690,0.00000348
84,0.624717,0.703364,0.697186,0.00000309
85,0.622036,0.703364,0.697574,0.00000272
86,0.623110,0.697248,0.690301,0.00000238
87,0.652368,0.699286,0.693245,0.00000206
88,0.643061,0.704383,0.698628,0.00000176
89,0.621225,0.699286,0.693089,0.00000148
90,0.625599,0.702345,0.696263,0.00000122
91,0.643435,0.700306,0.693752,0.00000099
92,0.618654,0.702345,0.695357,0.00000079
93,0.619973,0.703364,0.697590,0.00000060
94,0.633930,0.704383,0.698596,0.00000044
95,0.625716,0.700306,0.692981,0.00000031
96,0.637620,0.699286,0.692646,0.00000020
97,0.637857,0.698267,0.691771,0.00000011
98,0.630492,0.707441,0.701511,0.00000005
99,0.614632,0.697248,0.690727,0.00000001
100,0.633255,0.702345,0.696887,0.00000000
