epoch,train_loss,val_acc,val_macro_f1,lr
1,1.235318,0.071356,0.055367,0.00004999
2,0.714677,0.142712,0.144099,0.00004995
3,0.597632,0.348624,0.324339,0.00004989
4,0.578752,0.401631,0.362755,0.00004980
5,0.558093,0.425076,0.384417,0.00004969
6,0.527133,0.463812,0.428005,0.00004956
7,0.496609,0.471967,0.444139,0.00004940
8,0.496251,0.495413,0.471262,0.00004921
9,0.482817,0.517839,0.491247,0.00004901
10,0.463565,0.535168,0.502693,0.00004878
11,0.461184,0.529052,0.502095,0.00004852
12,0.450673,0.555556,0.530662,0.00004824
13,0.436753,0.561672,0.550651,0.00004794
14,0.435855,0.558614,0.530385,0.00004762
15,0.435162,0.558614,0.537826,0.00004728
16,0.428001,0.575943,0.556686,0.00004691
17,0.398442,0.581040,0.562967,0.00004652
18,0.400935,0.596330,0.591146,0.00004611
19,0.413454,0.596330,0.570124,0.00004568
20,0.368565,0.615698,0.614584,0.00004523
21,0.399113,0.615698,0.603525,0.00004475
22,0.404353,0.629969,0.612557,0.00004426
23,0.354835,0.623853,0.608584,0.00004375
24,0.372966,0.648318,0.646185,0.00004322
25,0.387141,0.619776,0.599324,0.00004268
26,0.377325,0.642202,0.630273,0.00004211
27,0.349797,0.626911,0.602995,0.00004153
28,0.381526,0.652396,0.634605,0.00004094
29,0.350921,0.643221,0.639109,0.00004032
30,0.344656,0.648318,0.630892,0.00003969
31,0.372250,0.668705,0.655087,0.00003905
32,0.365810,0.650357,0.636165,0.00003840
33,0.343259,0.647299,0.633016,0.00003773
34,0.333630,0.668705,0.658647,0.00003704
35,0.337187,0.660550,0.655865,0.00003635
36,0.354700,0.655454,0.640781,0.00003564
37,0.341351,0.662589,0.652451,0.00003493
38,0.348671,0.655454,0.626880,0.00003420
39,0.345208,0.663609,0.653722,0.00003347
40,0.330027,0.676860,0.663714,0.00003273
41,0.330570,0.663609,0.650107,0.00003197
42,0.326815,0.673802,0.659891,0.00003122
43,0.326581,0.667686,0.641548,0.00003045
44,0.346484,0.670744,0.663815,0.00002968
45,0.329484,0.669725,0.653163,0.00002891
46,0.339523,0.671764,0.657371,0.00002813
47,0.333115,0.675841,0.665381,0.00002735
48,0.333046,0.683996,0.671402,0.00002657
49,0.318798,0.681957,0.670396,0.00002579
50,0.319434,0.683996,0.672170,0.00002500
51,0.299644,0.681957,0.670867,0.00002421
52,0.333021,0.674822,0.665041,0.00002343
53,0.316803,0.675841,0.656975,0.00002265
54,0.303162,0.683996,0.680352,0.00002187
55,0.319587,0.667686,0.656385,0.00002109
56,0.307216,0.675841,0.665820,0.00002032
57,0.312030,0.677880,0.671049,0.00001955
58,0.320116,0.685015,0.679072,0.00001878
59,0.307566,0.694190,0.686879,0.00001803
60,0.308234,0.691131,0.676985,0.00001727
61,0.311924,0.686035,0.672120,0.00001653
62,0.311644,0.685015,0.671121,0.00001580
63,0.318332,0.683996,0.676602,0.00001507
64,0.314201,0.680938,0.669385,0.00001436
65,0.311035,0.694190,0.677631,0.00001365
66,0.303740,0.682977,0.667832,0.00001296
67,0.303371,0.692151,0.678176,0.00001227
68,0.300396,0.697248,0.683578,0.00001160
69,0.329338,0.692151,0.681062,0.00001095
70,0.326813,0.685015,0.669379,0.00001031
71,0.318356,0.688073,0.673491,0.00000968
72,0.307697,0.685015,0.671062,0.00000906
73,0.301137,0.687054,0.674506,0.00000847
74,0.308086,0.691131,0.675460,0.00000789
75,0.304559,0.676860,0.658638,0.00000732
76,0.288273,0.691131,0.671672,0.00000678
77,0.301328,0.697248,0.678789,0.00000625
78,0.318820,0.689093,0.673073,0.00000574
79,0.314678,0.698267,0.681229,0.00000525
80,0.307494,0.685015,0.663521,0.00000477
81,0.294412,0.692151,0.678492,0.00000432
82,0.310300,0.690112,0.671503,0.00000389
83,0.297688,0.695209,0.682635,0.00000348
84,0.311499,0.683996,0.666701,0.00000309
85,0.314223,0.690112,0.674782,0.00000272
86,0.314593,0.697248,0.692955,0.00000238
87,0.302342,0.695209,0.684702,0.00000206
88,0.302672,0.679918,0.663776,0.00000176
89,0.304706,0.682977,0.666667,0.00000148
90,0.298360,0.695209,0.683834,0.00000122
91,0.288531,0.694190,0.682624,0.00000099
92,0.318926,0.689093,0.675568,0.00000079
93,0.295094,0.691131,0.677440,0.00000060
94,0.282387,0.690112,0.672938,0.00000044
95,0.303914,0.691131,0.680795,0.00000031
96,0.294828,0.683996,0.667009,0.00000020
97,0.325427,0.686035,0.670128,0.00000011
98,0.311984,0.683996,0.671905,0.00000005
99,0.288664,0.688073,0.675696,0.00000001
100,0.307737,0.688073,0.673946,0.00000000
