epoch,train_loss,val_acc,val_macro_f1,lr
1,1.312365,0.047910,0.022860,0.00004999
2,1.199170,0.047910,0.022860,0.00004995
3,0.889816,0.047910,0.022860,0.00004989
4,0.847966,0.047910,0.022860,0.00004980
5,0.856330,0.047910,0.022860,0.00004969
6,0.838639,0.047910,0.022860,0.00004956
7,0.852345,0.047910,0.022860,0.00004940
8,0.838702,0.047910,0.022860,0.00004921
9,0.788459,0.047910,0.022860,0.00004901
10,0.697408,0.047910,0.022860,0.00004878
11,0.710850,0.047910,0.022860,0.00004852
12,0.682803,0.047910,0.022860,0.00004824
13,0.698888,0.047910,0.022860,0.00004794
14,0.671312,0.047910,0.022860,0.00004762
15,0.651231,0.055046,0.032879,0.00004728
16,0.680997,0.064220,0.044601,0.00004691
17,0.695382,0.070336,0.051540,0.00004652
18,0.689067,0.091743,0.074401,0.00004611
19,0.676410,0.093782,0.081044,0.00004568
20,0.670438,0.156983,0.140045,0.00004523
21,0.640085,0.161060,0.150714,0.00004475
22,0.679285,0.266055,0.241363,0.00004426
23,0.650719,0.376147,0.305721,0.00004375
24,0.676325,0.387360,0.319334,0.00004322
25,0.677867,0.289501,0.272265,0.00004268
26,0.633874,0.265036,0.216236,0.00004211
27,0.659957,0.261978,0.202830,0.00004153
28,0.632484,0.266055,0.205354,0.00004094
29,0.634822,0.269113,0.204194,0.00004032
30,0.662196,0.244648,0.173133,0.00003969
31,0.641269,0.246687,0.175352,0.00003905
32,0.634051,0.248726,0.180220,0.00003840
33,0.661368,0.266055,0.195159,0.00003773
34,0.657959,0.274210,0.201138,0.00003704
35,0.660621,0.274210,0.204061,0.00003635
36,0.654750,0.241590,0.173333,0.00003564
37,0.655257,0.231397,0.175012,0.00003493
38,0.654176,0.352701,0.298604,0.00003420
39,0.639520,0.352701,0.299616,0.00003347
40,0.671403,0.353721,0.300015,0.00003273
41,0.636931,0.385321,0.325918,0.00003197
42,0.653765,0.416922,0.349904,0.00003122
43,0.643311,0.415902,0.347700,0.00003045
44,0.639935,0.391437,0.327846,0.00002968
45,0.638264,0.424057,0.355167,0.00002891
46,0.631525,0.402650,0.335315,0.00002813
47,0.648794,0.408767,0.340284,0.00002735
48,0.645438,0.431193,0.361217,0.00002657
49,0.640334,0.417941,0.348246,0.00002579
50,0.629710,0.406728,0.342351,0.00002500
51,0.626996,0.434251,0.362945,0.00002421
52,0.640169,0.426096,0.355920,0.00002343
53,0.616009,0.427115,0.357561,0.00002265
54,0.609456,0.428135,0.375077,0.00002187
55,0.638123,0.413863,0.361349,0.00002109
56,0.637892,0.408767,0.340219,0.00002032
57,0.656976,0.404689,0.336272,0.00001955
58,0.641548,0.430173,0.356622,0.00001878
59,0.617356,0.425076,0.353158,0.00001803
60,0.654827,0.431193,0.359593,0.00001727
61,0.646279,0.418960,0.348913,0.00001653
62,0.633125,0.392457,0.323646,0.00001580
63,0.624819,0.417941,0.348251,0.00001507
64,0.615613,0.399592,0.337227,0.00001436
65,0.651649,0.398573,0.348775,0.00001365
66,0.626497,0.416922,0.369116,0.00001296
67,0.612092,0.406728,0.353563,0.00001227
68,0.615828,0.418960,0.361609,0.00001160
69,0.601014,0.414883,0.358399,0.00001095
70,0.614481,0.415902,0.360644,0.00001031
71,0.579464,0.410805,0.357007,0.00000968
72,0.625437,0.409786,0.361327,0.00000906
73,0.600552,0.416922,0.369284,0.00000847
74,0.621308,0.413863,0.367088,0.00000789
75,0.613005,0.424057,0.378071,0.00000732
76,0.607051,0.408767,0.363266,0.00000678
77,0.606747,0.410805,0.364240,0.00000625
78,0.650091,0.404689,0.357469,0.00000574
79,0.616907,0.418960,0.371851,0.00000525
80,0.600990,0.403670,0.356444,0.00000477
81,0.631576,0.414883,0.368113,0.00000432
82,0.618452,0.405708,0.359566,0.00000389
83,0.595426,0.408767,0.363255,0.00000348
84,0.590536,0.411825,0.366397,0.00000309
85,0.604991,0.403670,0.357723,0.00000272
86,0.601151,0.408767,0.364489,0.00000238
87,0.611522,0.403670,0.359144,0.00000206
88,0.604668,0.407747,0.363919,0.00000176
89,0.586408,0.404689,0.361034,0.00000148
90,0.606157,0.402650,0.358900,0.00000122
91,0.597482,0.406728,0.362745,0.00000099
92,0.604520,0.403670,0.359918,0.00000079
93,0.581700,0.405708,0.361960,0.00000060
94,0.617290,0.402650,0.358877,0.00000044
95,0.621417,0.403670,0.359918,0.00000031
96,0.610672,0.403670,0.359918,0.00000020
97,0.620172,0.402650,0.358833,0.00000011
98,0.591961,0.402650,0.358833,0.00000005
99,0.587549,0.403670,0.359874,0.00000001
100,0.640721,0.403670,0.359874,0.00000000
