epoch,train_loss,val_acc,val_macro_f1,lr
1,1.086249,0.446483,0.416307,0.00004999
2,1.064816,0.487258,0.443454,0.00004995
3,1.020557,0.519878,0.490175,0.00004989
4,0.950922,0.567788,0.557342,0.00004980
5,0.893769,0.586137,0.579205,0.00004969
6,0.859142,0.613660,0.607769,0.00004956
7,0.839071,0.616718,0.611111,0.00004940
8,0.812509,0.637105,0.631626,0.00004921
9,0.804066,0.645260,0.640061,0.00004901
10,0.794605,0.648318,0.643586,0.00004878
11,0.771513,0.657492,0.651483,0.00004852
12,0.759533,0.670744,0.664328,0.00004824
13,0.767321,0.680938,0.675269,0.00004794
14,0.729391,0.668705,0.661889,0.00004762
15,0.750178,0.674822,0.669551,0.00004728
16,0.743684,0.678899,0.673250,0.00004691
17,0.718750,0.672783,0.666186,0.00004652
18,0.735135,0.680938,0.673524,0.00004611
19,0.737666,0.680938,0.674156,0.00004568
20,0.718248,0.680938,0.675647,0.00004523
21,0.701401,0.676860,0.670701,0.00004475
22,0.710215,0.675841,0.669276,0.00004426
23,0.686210,0.691131,0.684849,0.00004375
24,0.711075,0.698267,0.692456,0.00004322
25,0.692528,0.694190,0.688736,0.00004268
26,0.695433,0.691131,0.686189,0.00004211
27,0.676977,0.700306,0.696513,0.00004153
28,0.694058,0.706422,0.702155,0.00004094
29,0.678091,0.711519,0.706229,0.00004032
30,0.667724,0.703364,0.698739,0.00003969
31,0.651097,0.704383,0.700881,0.00003905
32,0.662152,0.706422,0.700797,0.00003840
33,0.660484,0.712538,0.708884,0.00003773
34,0.673572,0.699286,0.691717,0.00003704
35,0.653529,0.699286,0.693752,0.00003635
36,0.649445,0.713558,0.708651,0.00003564
37,0.665460,0.710499,0.706213,0.00003493
38,0.645247,0.709480,0.704994,0.00003420
39,0.648603,0.713558,0.708338,0.00003347
40,0.656475,0.714577,0.709860,0.00003273
41,0.630715,0.714577,0.707918,0.00003197
42,0.650284,0.716616,0.711569,0.00003122
43,0.636434,0.721713,0.717224,0.00003045
44,0.628750,0.723751,0.719412,0.00002968
45,0.620422,0.718654,0.712502,0.00002891
46,0.618127,0.716616,0.712169,0.00002813
47,0.611131,0.723751,0.719864,0.00002735
48,0.615736,0.722732,0.718474,0.00002657
49,0.606117,0.721713,0.717440,0.00002579
50,0.602602,0.720693,0.716512,0.00002500
51,0.596651,0.722732,0.718378,0.00002421
52,0.623680,0.727829,0.723437,0.00002343
53,0.624002,0.718654,0.714131,0.00002265
54,0.616396,0.721713,0.716740,0.00002187
55,0.617467,0.721713,0.717201,0.00002109
56,0.618465,0.721713,0.717623,0.00002032
57,0.595137,0.720693,0.715556,0.00001955
58,0.606982,0.726809,0.722987,0.00001878
59,0.611336,0.720693,0.716539,0.00001803
60,0.628206,0.716616,0.711259,0.00001727
61,0.607067,0.721713,0.716939,0.00001653
62,0.604579,0.721713,0.717002,0.00001580
63,0.597297,0.724771,0.720229,0.00001507
64,0.608329,0.722732,0.718211,0.00001436
65,0.597674,0.724771,0.720830,0.00001365
66,0.598474,0.716616,0.711814,0.00001296
67,0.634717,0.721713,0.717286,0.00001227
68,0.598607,0.727829,0.723753,0.00001160
69,0.588063,0.719674,0.714880,0.00001095
70,0.597081,0.726809,0.722919,0.00001031
71,0.570390,0.721713,0.716508,0.00000968
72,0.588092,0.725790,0.720946,0.00000906
73,0.599385,0.728848,0.724737,0.00000847
74,0.604180,0.717635,0.713019,0.00000789
75,0.606126,0.721713,0.716901,0.00000732
76,0.597594,0.721713,0.716910,0.00000678
77,0.601652,0.721713,0.717460,0.00000625
78,0.595550,0.722732,0.718105,0.00000574
79,0.592008,0.721713,0.716988,0.00000525
80,0.575572,0.726809,0.722530,0.00000477
81,0.596379,0.725790,0.721630,0.00000432
82,0.595910,0.724771,0.720581,0.00000389
83,0.578055,0.722732,0.718106,0.00000348
84,0.589865,0.724771,0.720709,0.00000309
85,0.572244,0.726809,0.722342,0.00000272
86,0.587643,0.718654,0.713660,0.00000238
87,0.599688,0.726809,0.722532,0.00000206
88,0.567951,0.724771,0.720741,0.00000176
89,0.588603,0.723751,0.719601,0.00000148
90,0.586097,0.724771,0.720227,0.00000122
91,0.601657,0.724771,0.720628,0.00000099
92,0.609226,0.724771,0.720611,0.00000079
93,0.608422,0.723751,0.719090,0.00000060
94,0.592038,0.722732,0.718325,0.00000044
95,0.574039,0.724771,0.720489,0.00000031
96,0.580305,0.723751,0.719289,0.00000020
97,0.589890,0.726809,0.722508,0.00000011
98,0.591524,0.724771,0.720421,0.00000005
99,0.580464,0.723751,0.719569,0.00000001
100,0.584374,0.723751,0.719843,0.00000000
