epoch,train_loss,val_acc,val_macro_f1,lr
1,1.244647,0.082569,0.075505,0.00004999
2,0.738807,0.240571,0.237302,0.00004995
3,0.599981,0.387360,0.342564,0.00004989
4,0.562100,0.452599,0.402593,0.00004980
5,0.515202,0.496432,0.455864,0.00004969
6,0.485980,0.523955,0.491963,0.00004956
7,0.497768,0.546381,0.508762,0.00004940
8,0.455574,0.557594,0.522697,0.00004921
9,0.471411,0.568807,0.531365,0.00004901
10,0.462218,0.577982,0.544608,0.00004878
11,0.434166,0.585117,0.548420,0.00004852
12,0.412263,0.596330,0.572649,0.00004824
13,0.410438,0.594292,0.561104,0.00004794
14,0.405408,0.602446,0.576437,0.00004762
15,0.409300,0.615698,0.584714,0.00004728
16,0.425915,0.624873,0.592454,0.00004691
17,0.384711,0.633028,0.607735,0.00004652
18,0.364996,0.632008,0.602963,0.00004611
19,0.382811,0.641182,0.614770,0.00004568
20,0.376795,0.646279,0.636937,0.00004523
21,0.368510,0.647299,0.631470,0.00004475
22,0.363125,0.643221,0.628352,0.00004426
23,0.347184,0.663609,0.649826,0.00004375
24,0.363670,0.647299,0.619750,0.00004322
25,0.340975,0.655454,0.631629,0.00004268
26,0.352694,0.662589,0.646248,0.00004211
27,0.360401,0.669725,0.658537,0.00004153
28,0.337709,0.672783,0.664617,0.00004094
29,0.336858,0.670744,0.658949,0.00004032
30,0.325403,0.678899,0.666594,0.00003969
31,0.340345,0.681957,0.681538,0.00003905
32,0.335388,0.666667,0.653158,0.00003840
33,0.323435,0.664628,0.637446,0.00003773
34,0.339710,0.681957,0.677882,0.00003704
35,0.321564,0.679918,0.672232,0.00003635
36,0.340736,0.674822,0.657190,0.00003564
37,0.320046,0.672783,0.657209,0.00003493
38,0.316274,0.669725,0.648239,0.00003420
39,0.328950,0.668705,0.648082,0.00003347
40,0.316250,0.686035,0.683325,0.00003273
41,0.327063,0.665647,0.638892,0.00003197
42,0.323391,0.675841,0.658926,0.00003122
43,0.333418,0.679918,0.656505,0.00003045
44,0.330891,0.681957,0.666647,0.00002968
45,0.316251,0.670744,0.651626,0.00002891
46,0.314750,0.680938,0.665199,0.00002813
47,0.307786,0.678899,0.670974,0.00002735
48,0.288635,0.683996,0.676312,0.00002657
49,0.306808,0.689093,0.681264,0.00002579
50,0.297195,0.680938,0.666186,0.00002500
51,0.303115,0.695209,0.689097,0.00002421
52,0.315970,0.685015,0.666738,0.00002343
53,0.319099,0.680938,0.662630,0.00002265
54,0.293472,0.680938,0.673051,0.00002187
55,0.309574,0.685015,0.675746,0.00002109
56,0.298795,0.682977,0.673269,0.00002032
57,0.302793,0.679918,0.666320,0.00001955
58,0.300955,0.689093,0.680151,0.00001878
59,0.297091,0.685015,0.674649,0.00001803
60,0.284203,0.685015,0.676465,0.00001727
61,0.306707,0.686035,0.666812,0.00001653
62,0.293832,0.685015,0.663439,0.00001580
63,0.303938,0.688073,0.681624,0.00001507
64,0.292984,0.697248,0.693347,0.00001436
65,0.297897,0.694190,0.688495,0.00001365
66,0.302249,0.681957,0.665197,0.00001296
67,0.295888,0.676860,0.659470,0.00001227
68,0.266327,0.680938,0.672677,0.00001160
69,0.291827,0.681957,0.668808,0.00001095
70,0.293747,0.677880,0.662669,0.00001031
71,0.295635,0.681957,0.676032,0.00000968
72,0.275131,0.685015,0.667759,0.00000906
73,0.292830,0.689093,0.679535,0.00000847
74,0.308204,0.686035,0.671521,0.00000789
75,0.302051,0.686035,0.678298,0.00000732
76,0.293389,0.682977,0.666046,0.00000678
77,0.308159,0.689093,0.676367,0.00000625
78,0.286074,0.692151,0.690821,0.00000574
79,0.290473,0.689093,0.692197,0.00000525
80,0.295232,0.681957,0.665548,0.00000477
81,0.293191,0.689093,0.682423,0.00000432
82,0.292780,0.686035,0.671750,0.00000389
83,0.312768,0.692151,0.684367,0.00000348
84,0.278298,0.689093,0.684850,0.00000309
85,0.274219,0.682977,0.674462,0.00000272
86,0.292115,0.691131,0.692881,0.00000238
87,0.290989,0.682977,0.684037,0.00000206
88,0.299876,0.683996,0.667812,0.00000176
89,0.306386,0.691131,0.687213,0.00000148
90,0.295120,0.687054,0.676252,0.00000122
91,0.277683,0.695209,0.698736,0.00000099
92,0.271981,0.693170,0.690664,0.00000079
93,0.273330,0.690112,0.688048,0.00000060
94,0.282404,0.692151,0.692586,0.00000044
95,0.285547,0.688073,0.676913,0.00000031
96,0.305610,0.692151,0.689279,0.00000020
97,0.301538,0.687054,0.670501,0.00000011
98,0.279991,0.690112,0.686185,0.00000005
99,0.325481,0.694190,0.692628,0.00000001
100,0.294416,0.685015,0.669786,0.00000000
