epoch,train_loss,val_acc,val_macro_f1,lr
1,1.080615,0.494393,0.475311,0.00004999
2,1.046952,0.487258,0.462408,0.00004995
3,0.997406,0.545362,0.525059,0.00004989
4,0.918042,0.597350,0.590033,0.00004980
5,0.878874,0.612640,0.608363,0.00004969
6,0.840521,0.633028,0.627742,0.00004956
7,0.812566,0.639144,0.632919,0.00004940
8,0.783259,0.662589,0.657976,0.00004921
9,0.775362,0.671764,0.667347,0.00004901
10,0.761594,0.664628,0.660396,0.00004878
11,0.767136,0.679918,0.675106,0.00004852
12,0.744931,0.672783,0.667675,0.00004824
13,0.747949,0.676860,0.671020,0.00004794
14,0.750952,0.677880,0.670898,0.00004762
15,0.719409,0.697248,0.692713,0.00004728
16,0.738888,0.690112,0.683863,0.00004691
17,0.702668,0.694190,0.688834,0.00004652
18,0.715275,0.693170,0.687464,0.00004611
19,0.717508,0.691131,0.685780,0.00004568
20,0.707457,0.700306,0.695634,0.00004523
21,0.695844,0.696228,0.690657,0.00004475
22,0.674155,0.693170,0.687587,0.00004426
23,0.699033,0.697248,0.691105,0.00004375
24,0.675347,0.689093,0.683913,0.00004322
25,0.682382,0.692151,0.686004,0.00004268
26,0.683283,0.705403,0.700627,0.00004211
27,0.666135,0.706422,0.700788,0.00004153
28,0.646929,0.712538,0.707074,0.00004094
29,0.664388,0.708461,0.703537,0.00004032
30,0.670105,0.711519,0.707129,0.00003969
31,0.651379,0.705403,0.699899,0.00003905
32,0.652581,0.708461,0.703409,0.00003840
33,0.648004,0.714577,0.709514,0.00003773
34,0.640695,0.718654,0.713470,0.00003704
35,0.637633,0.706422,0.700302,0.00003635
36,0.626547,0.704383,0.697423,0.00003564
37,0.642286,0.715596,0.711699,0.00003493
38,0.631075,0.714577,0.710408,0.00003420
39,0.637451,0.701325,0.695246,0.00003347
40,0.633540,0.707441,0.700282,0.00003273
41,0.637538,0.715596,0.712035,0.00003197
42,0.605208,0.719674,0.715873,0.00003122
43,0.630221,0.713558,0.708310,0.00003045
44,0.638103,0.715596,0.710791,0.00002968
45,0.607941,0.713558,0.709081,0.00002891
46,0.618279,0.713558,0.708531,0.00002813
47,0.627436,0.723751,0.718941,0.00002735
48,0.613921,0.714577,0.709862,0.00002657
49,0.604726,0.717635,0.712168,0.00002579
50,0.625011,0.712538,0.707454,0.00002500
51,0.612858,0.719674,0.715192,0.00002421
52,0.615618,0.710499,0.705673,0.00002343
53,0.617132,0.721713,0.717720,0.00002265
54,0.599804,0.721713,0.717590,0.00002187
55,0.599387,0.722732,0.719027,0.00002109
56,0.610724,0.719674,0.715649,0.00002032
57,0.597130,0.721713,0.718080,0.00001955
58,0.602820,0.716616,0.712384,0.00001878
59,0.566170,0.722732,0.719315,0.00001803
60,0.618446,0.719674,0.716054,0.00001727
61,0.605123,0.726809,0.721905,0.00001653
62,0.574799,0.722732,0.718740,0.00001580
63,0.598966,0.720693,0.717136,0.00001507
64,0.587382,0.715596,0.711364,0.00001436
65,0.554368,0.721713,0.717898,0.00001365
66,0.589775,0.721713,0.718441,0.00001296
67,0.583503,0.724771,0.720601,0.00001227
68,0.592721,0.721713,0.717691,0.00001160
69,0.586583,0.723751,0.720029,0.00001095
70,0.600103,0.722732,0.719395,0.00001031
71,0.574430,0.724771,0.721604,0.00000968
72,0.597460,0.719674,0.715819,0.00000906
73,0.589433,0.723751,0.719836,0.00000847
74,0.593303,0.722732,0.719097,0.00000789
75,0.586838,0.723751,0.719901,0.00000732
76,0.586257,0.718654,0.714398,0.00000678
77,0.590672,0.726809,0.723321,0.00000625
78,0.591329,0.723751,0.720637,0.00000574
79,0.569467,0.722732,0.719005,0.00000525
80,0.588495,0.723751,0.720505,0.00000477
81,0.584575,0.724771,0.720903,0.00000432
82,0.582828,0.721713,0.717954,0.00000389
83,0.583771,0.719674,0.715524,0.00000348
84,0.586225,0.723751,0.720074,0.00000309
85,0.572074,0.724771,0.720862,0.00000272
86,0.585616,0.722732,0.718972,0.00000238
87,0.599761,0.725790,0.722129,0.00000206
88,0.566734,0.724771,0.720776,0.00000176
89,0.578230,0.724771,0.720957,0.00000148
90,0.584779,0.723751,0.719806,0.00000122
91,0.571137,0.725790,0.722010,0.00000099
92,0.566059,0.721713,0.717811,0.00000079
93,0.558332,0.722732,0.719321,0.00000060
94,0.588818,0.722732,0.719101,0.00000044
95,0.579863,0.721713,0.717904,0.00000031
96,0.584810,0.724771,0.721108,0.00000020
97,0.571713,0.722732,0.718983,0.00000011
98,0.584554,0.721713,0.717924,0.00000005
99,0.578719,0.723751,0.720115,0.00000001
100,0.580227,0.724771,0.721268,0.00000000
