epoch,train_loss,val_acc,val_macro_f1,lr
1,1.101438,0.352701,0.173826,0.00004999
2,1.097093,0.318043,0.160866,0.00004995
3,1.089518,0.338430,0.268630,0.00004989
4,1.079802,0.353721,0.285546,0.00004980
5,1.070186,0.334353,0.260526,0.00004969
6,1.066493,0.338430,0.293600,0.00004956
7,1.068217,0.462793,0.466284,0.00004940
8,1.052462,0.457696,0.461902,0.00004921
9,1.030584,0.457696,0.460192,0.00004901
10,1.031915,0.464832,0.467281,0.00004878
11,1.022129,0.480122,0.479353,0.00004852
12,1.019711,0.469929,0.470139,0.00004824
13,1.008905,0.468909,0.468407,0.00004794
14,1.018563,0.474006,0.470340,0.00004762
15,1.007389,0.457696,0.455836,0.00004728
16,0.999631,0.479103,0.473431,0.00004691
17,0.998283,0.467890,0.466288,0.00004652
18,0.991863,0.474006,0.467392,0.00004611
19,0.984256,0.469929,0.463947,0.00004568
20,0.985378,0.490316,0.486281,0.00004523
21,0.988349,0.470948,0.469314,0.00004475
22,0.994379,0.482161,0.481153,0.00004426
23,0.990886,0.470948,0.468557,0.00004375
24,0.984735,0.472987,0.470047,0.00004322
25,0.974568,0.481142,0.478974,0.00004268
26,0.987461,0.481142,0.478096,0.00004211
27,0.967539,0.499490,0.495426,0.00004153
28,0.951297,0.503568,0.496402,0.00004094
29,0.971400,0.490316,0.482414,0.00004032
30,0.966017,0.502548,0.495675,0.00003969
31,0.944943,0.493374,0.489443,0.00003905
32,0.957265,0.489297,0.482442,0.00003840
33,0.950306,0.506626,0.501369,0.00003773
34,0.966477,0.493374,0.489202,0.00003704
35,0.957582,0.493374,0.489840,0.00003635
36,0.957513,0.485219,0.480446,0.00003564
37,0.981546,0.495413,0.488896,0.00003493
38,0.960029,0.506626,0.500760,0.00003420
39,0.943582,0.491335,0.484700,0.00003347
40,0.962485,0.500510,0.496508,0.00003273
41,0.941524,0.489297,0.485382,0.00003197
42,0.948121,0.500510,0.495716,0.00003122
43,0.963660,0.498471,0.493698,0.00003045
44,0.947639,0.486239,0.482146,0.00002968
45,0.954858,0.485219,0.479312,0.00002891
46,0.950567,0.502548,0.497507,0.00002813
47,0.946693,0.491335,0.488576,0.00002735
48,0.962666,0.484200,0.479485,0.00002657
49,0.959540,0.486239,0.481118,0.00002579
50,0.935079,0.491335,0.486147,0.00002500
51,0.952968,0.501529,0.497046,0.00002421
52,0.945477,0.491335,0.488390,0.00002343
53,0.936023,0.499490,0.493395,0.00002265
54,0.940321,0.493374,0.489557,0.00002187
55,0.946762,0.503568,0.498604,0.00002109
56,0.964651,0.496432,0.489511,0.00002032
57,0.946105,0.499490,0.493480,0.00001955
58,0.951122,0.505607,0.501085,0.00001878
59,0.955161,0.495413,0.489911,0.00001803
60,0.955762,0.501529,0.496573,0.00001727
61,0.970049,0.511723,0.506052,0.00001653
62,0.954527,0.503568,0.498608,0.00001580
63,0.945145,0.497452,0.491418,0.00001507
64,0.944926,0.492355,0.487081,0.00001436
65,0.944514,0.499490,0.495046,0.00001365
66,0.945004,0.510703,0.505477,0.00001296
67,0.958584,0.497452,0.491674,0.00001227
68,0.951542,0.493374,0.487330,0.00001160
69,0.950617,0.493374,0.487510,0.00001095
70,0.947456,0.510703,0.504971,0.00001031
71,0.942481,0.514781,0.509140,0.00000968
72,0.938025,0.506626,0.501142,0.00000906
73,0.950738,0.504587,0.499362,0.00000847
74,0.941586,0.509684,0.504579,0.00000789
75,0.937879,0.507645,0.502860,0.00000732
76,0.943799,0.508665,0.504157,0.00000678
77,0.949318,0.514781,0.508791,0.00000625
78,0.947807,0.504587,0.497699,0.00000574
79,0.951824,0.498471,0.492510,0.00000525
80,0.931916,0.507645,0.503097,0.00000477
81,0.940484,0.501529,0.496338,0.00000432
82,0.938701,0.499490,0.494688,0.00000389
83,0.950792,0.500510,0.495566,0.00000348
84,0.946527,0.499490,0.494460,0.00000309
85,0.951154,0.501529,0.496358,0.00000272
86,0.948890,0.506626,0.501957,0.00000238
87,0.941903,0.510703,0.506258,0.00000206
88,0.933827,0.508665,0.504113,0.00000176
89,0.941290,0.508665,0.504343,0.00000148
90,0.954863,0.507645,0.503185,0.00000122
91,0.940098,0.509684,0.505347,0.00000099
92,0.928102,0.509684,0.505373,0.00000079
93,0.946319,0.509684,0.505373,0.00000060
94,0.946468,0.507645,0.503230,0.00000044
95,0.956775,0.507645,0.503230,0.00000031
96,0.934534,0.508665,0.504316,0.00000020
97,0.944144,0.507645,0.503230,0.00000011
98,0.948726,0.507645,0.503230,0.00000005
99,0.936518,0.507645,0.503230,0.00000001
100,0.951269,0.507645,0.503230,0.00000000
